Query: 301
[112494, 5.597601]
[509504, 8.215222]
[347031, 7.804894]
[45047, 7.720671]
[460930, 7.718571]
[211291, 7.547504]
[228581, 7.452042]
[384434, 7.426508]
[238203, 7.379425]
[303229, 7.314786]
[420144, 7.299872]Query: 333
[186189, 12.002851]
[329989, 11.277674]
[502164, 11.034381]
[301819, 10.927977]
[395939, 10.803018]
[176897, 10.593682]
[52250, 10.1584]
[282956, 9.711313]
[298993, 9.60642]
[443998, 9.543439]Query: 334
[322483, 7.237042]
[164260, 6.719866]
[367501, 5.971703]
[269583, 4.858556]
[132820, 4.758051]
[166445, 4.735001]
[120388, 4.104938]
[219404, 4.007938]
[21218, 4.007019]
[38197, 3.98303]Query: 335
[453825, 7.975092]
[494284, 7.965912]
[471286, 7.681311]
[136125, 7.606412]
[481371, 7.028902]
[453853, 6.053458]
[460629, 6.017853]
[501981, 5.826595]
[429890, 5.760308]
[481935, 5.64381]Query: 336
[469271, 5.12353]
[400741, 5.015453]
[362491, 4.931135]
[92257, 4.862197]
[448023, 4.812357]
[420019, 4.755765]
[168038, 4.712085]
[154450, 4.710773]
[474621, 4.6342]
[446998, 4.632197]Query: 337
[176698, 11.782191]
[25201, 10.77181]
[519682, 9.734971]
[61746, 9.671651]
[61661, 9.24613]
[25200, 9.19483]
[18755, 8.821747]
[18758, 8.637622]
[24317, 8.425442]
[71962, 8.378828]Query: 338
[247139, 8.949406]
[481505, 8.352634]
[236556, 8.132314]
[504083, 8.05787]
[474908, 7.064289]
[425786, 6.771274]
[519255, 6.746551]
[459653, 6.468211]
[487278, 6.446246]
[507393, 6.410416]Query: 339
[459504, 10.702294]
[290730, 10.122374]
[400484, 10.090005]
[278919, 10.084813]
[259463, 9.898664]
[208288, 9.46536]
[204947, 9.194747]
[458727, 8.722583]
[166498, 8.378798]
[191985, 8.255529]Query: 340
[242225, 7.780863]
[519026, 7.742098]
[7716, 6.634759]
[338682, 6.423825]
[112659, 6.273305]
[237174, 6.056971]
[497961, 6.048665]
[339851, 5.682176]
[237013, 5.551998]
[457673, 5.433483]Query: 341
[518205, 4.580675]
[244021, 4.471933]
[21806, 4.440439]
[80425, 4.369703]
[456562, 4.359715]
[36708, 4.329992]
[456607, 4.307672]
[274533, 4.300967]
[166960, 4.28453]
[6975, 4.283372]Query: 342
[377093, 7.899427]
[25668, 7.500804]
[81976, 7.135365]
[242063, 6.913786]
[16580, 6.885564]
[295455, 6.872865]
[25553, 6.824802]
[306779, 6.817567]
[306761, 6.79901]
[58603, 6.76559]Query: 343
[523584, 4.835005]
[415101, 4.783107]
[201788, 4.759381]
[449176, 4.733767]
[520513, 4.722689]
[466978, 4.694447]
[364186, 4.652224]
[504289, 4.64382]
[447901, 4.639963]
[270086, 4.626817]Query: 344
[174766, 5.95371]
[377073, 5.783239]
[174767, 5.751873]
[174761, 5.69271]
[174764, 5.668016]
[205408, 5.664336]
[242195, 5.662564]
[174765, 5.583429]
[201290, 5.48956]
[174763, 5.325936]Query: 345
[206317, 6.708223]
[302418, 6.512106]
[278916, 6.428234]
[493017, 6.35809]
[326141, 6.14551]
[400249, 6.103689]
[266372, 5.983007]
[266298, 5.980847]
[347443, 5.93424]
[294065, 5.871915]Query: 346
[260341, 4.388507]
[173299, 4.387329]
[180679, 4.345185]
[138207, 4.299928]
[307255, 4.274791]
[134050, 4.210316]
[156135, 4.19147]
[156132, 4.172928]
[134011, 4.138089]
[12317, 4.126174]Query: 347
[461944, 7.762205]
[322263, 7.619065]
[294881, 7.28453]
[493986, 7.016854]
[458546, 6.553245]
[512234, 6.543068]
[155587, 6.534758]
[502478, 6.510927]
[7185, 6.460209]
[101104, 6.460209]Query: 348
[494200, 5.010167]
[505007, 2.981807]
[431635, 2.146474]
[444270, 2.019876]
[217306, 1.62258]
[386442, 1.374019]Query: 349
[113324, 6.239038]
[113362, 6.234544]
[416573, 6.184229]
[182952, 5.939029]
[152224, 5.641829]
[316943, 5.500738]
[187557, 5.463859]
[34260, 4.938811]
[161936, 4.922994]
[29622, 4.832515]Query: 350
[215306, 6.420479]
[520407, 6.341691]
[453444, 6.144279]
[405792, 5.954803]
[232584, 5.726515]
[511257, 5.59655]
[457580, 5.589029]
[172284, 5.507225]
[169651, 5.456749]
[376702, 5.415736]Query: 351
[318471, 8.377988]
[318254, 8.357849]
[216469, 8.345631]
[299698, 8.283058]
[262482, 8.251238]
[305509, 8.071769]
[251373, 8.049743]
[389983, 7.711021]
[209946, 7.50007]
[352193, 7.356084]Query: 352
[322054, 7.59845]
[294078, 7.270073]
[349788, 6.864506]
[356058, 6.639011]
[360933, 6.566953]
[395638, 6.440834]
[407837, 6.16281]
[287818, 5.873156]
[295211, 5.542784]
[242179, 5.382407]Query: 353
[341550, 8.520245]
[414638, 8.058756]
[341350, 7.993842]
[227426, 7.876923]
[231167, 7.747806]
[224628, 7.647522]
[495158, 7.563482]
[463445, 6.89794]
[137463, 6.451052]
[12434, 6.319158]Query: 354
[377928, 4.335241]
[81104, 4.237375]
[119091, 4.14123]
[95854, 4.129608]
[236945, 4.107834]
[95577, 4.082174]
[253029, 4.060358]
[55508, 4.010963]
[73888, 3.948476]
[348675, 3.91432]Query: 355
[29119, 8.931124]
[29696, 7.485448]
[93632, 6.400559]
[62148, 6.347131]
[459321, 5.71995]
[34215, 5.576003]
[121855, 5.522933]
[2633, 5.504021]
[34223, 5.461072]
[49816, 5.275859]Query: 356
[518242, 12.310646]
[408579, 12.223327]
[471087, 10.362075]
[424994, 10.131413]
[431857, 7.57805]
[515485, 7.552812]
[479947, 7.465787]
[431727, 7.402863]
[479944, 7.350841]
[503795, 7.07277]Query: 357
[235744, 6.670252]
[364601, 6.474775]
[253787, 6.47219]
[98095, 6.096881]
[100753, 6.016994]
[388727, 5.904435]
[47007, 5.831522]
[334933, 5.811367]
[305516, 5.756981]
[9003, 5.742426]Query: 358
[499519, 9.058607]
[517096, 8.964762]
[462684, 8.721795]
[462934, 8.591816]
[462215, 8.300833]
[500653, 8.239591]
[458623, 8.085542]
[406665, 7.824072]
[150896, 7.698286]
[150894, 7.63467]Query: 359
[34220, 5.693934]
[219251, 5.200167]
[473784, 5.184463]
[181489, 5.138123]
[143503, 4.798075]
[323804, 4.768471]
[251606, 4.759641]
[295579, 4.724968]
[348470, 4.690256]
[141176, 4.689146]Query: 360
[500270, 5.656842]
[517488, 5.4645]
[423831, 5.092617]
[70299, 5.09191]
[117286, 5.09191]
[326323, 4.993395]
[217708, 4.942314]
[22121, 4.941737]
[63944, 4.941737]
[75075, 4.922306]Query: 361
[445842, 9.173289]
[445872, 8.628445]
[487253, 8.555564]
[478219, 8.514159]
[515410, 8.368706]
[458349, 7.850684]
[416718, 7.230135]
[503497, 7.212877]
[471773, 6.372937]
[416819, 6.319787]Query: 362
[123760, 5.834364]
[446883, 5.450154]
[32732, 5.200787]
[269962, 5.194163]
[86758, 4.963656]
[39554, 4.925737]
[446074, 4.77765]
[489533, 4.749887]
[75584, 4.742089]
[88683, 4.700659]Query: 363
[202689, 7.412876]
[363088, 6.522675]
[236839, 6.498112]
[244847, 6.458163]
[514242, 6.384105]
[326034, 6.242172]
[301697, 6.238267]
[239266, 6.231662]
[348368, 6.186766]
[495176, 6.185832]Query: 364
[138902, 7.230921]
[138901, 7.060746]
[138903, 7.05702]
[109969, 7.012614]
[61726, 7.008413]
[138904, 7.003429]
[25159, 6.835252]
[487991, 6.799216]
[61744, 6.647739]
[485690, 6.524489]Query: 365
[498902, 9.958719]
[504485, 9.757555]
[309495, 9.755302]
[499215, 9.673744]
[363834, 8.48239]
[421937, 7.896824]
[451510, 7.589274]
[519586, 7.566122]
[265591, 6.523048]
[475425, 6.409176]Query: 366
[153823, 7.081532]
[153822, 6.97322]
[153821, 6.930836]
[462931, 6.448315]
[425609, 6.254131]
[443726, 6.243438]
[289214, 6.11311]
[405894, 6.032818]
[459092, 6.007729]
[483075, 5.919054]Query: 367
[392366, 6.135014]
[267150, 5.893531]
[190580, 5.857478]
[310943, 5.763199]
[368312, 5.739995]
[121646, 5.657926]
[267155, 5.627706]
[254027, 5.557181]
[21919, 5.519569]
[341087, 5.416117]Query: 368
[466348, 9.418118]
[445977, 8.753804]
[417761, 8.134019]
[426586, 8.075734]
[495627, 7.677907]
[481304, 7.457413]
[427835, 7.231881]
[410191, 7.153203]
[452614, 7.03925]
[473784, 7.018229]Query: 369
[428676, 14.646982]
[416705, 13.2149]
[241439, 9.408622]
[206317, 7.23233]
[415837, 6.212766]
[349659, 5.948575]
[316832, 5.778145]
[491570, 4.742327]
[472132, 4.72984]
[333222, 4.533929]Query: 370
[134158, 6.319381]
[162715, 5.98494]
[168630, 5.896647]
[68022, 5.877878]
[132710, 5.837963]
[77768, 5.751971]
[33478, 5.700098]
[152393, 5.649882]
[140728, 5.45588]
[134312, 5.453881]Query: 371
[21679, 5.969368]
[41707, 5.021871]
[104593, 5.021871]
[314710, 4.991763]
[329535, 4.951017]
[29676, 4.929227]
[421232, 4.925888]
[238308, 4.916263]
[506969, 4.906686]
[296390, 4.889336]Query: 372
[300956, 6.994423]
[276649, 6.026736]
[166028, 5.796571]
[390293, 5.784947]
[189959, 5.782783]
[172516, 5.719551]
[161500, 5.601712]
[166029, 5.585498]
[166044, 5.52241]
[166043, 5.466645]Query: 373
[270455, 8.873465]
[322483, 8.023574]
[154065, 7.958659]
[245434, 7.069279]
[333876, 7.069045]
[176521, 6.766007]
[295028, 6.64131]
[164260, 6.604013]
[132819, 6.566364]
[322378, 6.276435]Query: 374
[340337, 10.937856]
[516851, 10.668806]
[202028, 10.166906]
[282842, 9.790257]
[279312, 9.507875]
[478814, 9.493151]
[501701, 9.408284]
[407973, 9.396036]
[333204, 9.387535]
[256936, 9.318763]Query: 375
[52394, 7.533885]
[11123, 7.33491]
[5383, 7.295361]
[62179, 7.035917]
[62136, 6.992901]
[8245, 6.976377]
[50053, 6.886243]
[18993, 6.865564]
[369004, 6.857065]
[15007, 6.756994]Query: 376
[446447, 3.254728]
[463048, 3.152889]
[446582, 3.076497]
[390422, 3.054345]
[484050, 2.993739]
[445408, 2.983706]
[220425, 2.978723]
[369487, 2.978723]
[3611, 2.974553]
[340627, 2.971524]Query: 377
[468238, 9.635639]
[482855, 9.181055]
[303333, 9.005187]
[443626, 8.481189]
[513285, 8.290093]
[514454, 7.569179]
[397579, 7.387064]
[501665, 7.368459]
[272808, 7.288941]
[476207, 7.202145]Query: 378
[231949, 5.64473]
[256884, 5.232316]
[280156, 5.131364]
[266483, 5.130231]
[197589, 4.971586]
[191299, 4.958107]
[286978, 4.949515]
[204980, 4.927283]
[221678, 4.926372]
[280362, 4.903675]Query: 379
[524382, 4.438685]
[410208, 4.269077]
[351793, 4.162769]
[496824, 4.150936]
[30526, 4.135843]
[358566, 3.941199]
[514117, 3.915727]
[45906, 3.903589]
[433841, 3.830026]
[482750, 3.801262]Query: 380
[360256, 8.021331]
[417568, 7.434547]
[224004, 7.237374]
[484514, 7.024945]
[503593, 6.714031]
[210923, 6.692997]
[349214, 6.365818]
[511004, 6.130045]
[354547, 6.112624]
[246596, 6.036904]Query: 381
[167324, 5.681485]
[128104, 5.370552]
[147775, 5.191124]
[477258, 5.188345]
[336559, 4.650436]
[496427, 4.615345]
[118611, 4.549051]
[434468, 4.450535]
[439022, 4.32229]
[254594, 4.298664]Query: 382
[148284, 10.208146]
[5383, 10.014781]
[91286, 9.840956]
[62179, 9.833593]
[62182, 9.565331]
[148282, 9.08373]
[41251, 8.727899]
[172325, 8.610258]
[148283, 8.493272]
[11165, 8.365241]Query: 383
[419463, 8.603332]
[422366, 8.257306]
[432584, 8.149809]
[419467, 8.025127]
[414098, 7.626774]
[306460, 7.521688]
[459635, 7.517311]
[451476, 7.235433]
[526480, 7.195807]
[434980, 7.189395]Query: 384
[108, 9.527582]
[490082, 9.006236]
[483538, 8.818543]
[457979, 8.702019]
[246801, 8.300656]
[407021, 8.079606]
[442803, 8.024212]
[124948, 7.786717]
[519279, 7.724226]
[417082, 7.69824]Query: 385
[326063, 8.461281]
[62179, 7.384908]
[455558, 6.835005]
[91268, 6.77858]
[198081, 6.761952]
[393978, 6.670846]
[36995, 6.602375]
[338307, 6.553234]
[5383, 6.534299]
[154248, 6.114213]Query: 386
[444092, 7.971411]
[455313, 7.966022]
[156571, 7.82429]
[160492, 7.712803]
[445117, 7.57145]
[163501, 7.356261]
[417191, 7.318413]
[416350, 7.241592]
[504794, 7.140447]
[136770, 7.023827]Query: 387
[116996, 7.869436]
[94152, 7.821977]
[153830, 7.714747]
[153852, 7.710908]
[11088, 7.697912]
[153853, 7.679359]
[58433, 7.625578]
[100975, 7.534912]
[387417, 7.497015]
[101806, 7.486377]Query: 388
[100946, 6.311984]
[63834, 5.802376]
[457189, 5.699728]
[156032, 5.480034]
[49946, 5.479961]
[431367, 5.355188]
[405638, 5.282467]
[153858, 5.230704]
[153853, 5.195901]
[61435, 5.176497]Query: 389
[214812, 5.125522]
[81329, 4.879375]
[75412, 4.86518]
[112343, 4.864491]
[88537, 4.841463]
[260947, 4.84046]
[9991, 4.76568]
[279267, 4.717724]
[52349, 4.663316]
[86978, 4.662174]Query: 390
[471572, 7.690812]
[250233, 6.810224]
[430505, 6.378616]
[167452, 6.344038]
[400625, 6.329032]
[49742, 6.024949]
[461375, 5.807533]
[110607, 5.649471]
[487676, 5.571214]
[481250, 5.456514]Query: 391
[291328, 8.061023]
[367413, 7.914445]
[260116, 7.88185]
[245688, 7.703445]
[194365, 7.574382]
[239587, 7.51731]
[322762, 7.436282]
[353542, 7.40701]
[303360, 7.357019]
[371170, 7.284708]Query: 392
[283445, 5.828644]
[206883, 5.822223]
[392068, 5.779225]
[62219, 5.762835]
[80039, 5.72519]
[223035, 5.722498]
[447735, 5.683364]
[209101, 5.647872]
[241760, 5.641186]
[93631, 5.631083]Query: 393
[319655, 5.64242]
[99259, 5.583556]
[486041, 5.5571]
[438221, 5.539024]
[403997, 5.362449]
[187480, 5.356088]
[462184, 5.328694]
[50447, 5.327864]
[406386, 5.269707]
[420282, 5.175758]Query: 394
[436099, 3.268507]
[412812, 3.235826]
[478432, 3.202163]
[403924, 3.163984]
[396753, 3.160105]
[437045, 3.147516]
[468894, 3.140483]
[450188, 3.121078]
[452827, 3.086814]
[472081, 3.082921]Query: 395
[125000, 4.224736]
[31333, 4.153803]
[157354, 4.11519]
[119168, 4.110605]
[97674, 4.10853]
[115131, 4.099992]
[90351, 4.097501]
[28336, 4.092527]
[162541, 4.080617]
[86581, 4.069155]Query: 396
[368070, 10.491428]
[373724, 9.945668]
[367005, 9.728194]
[374292, 9.446948]
[486403, 9.215406]
[182963, 7.603215]
[182944, 7.542112]
[182947, 7.180916]
[183001, 6.770626]
[438819, 5.914754]Query: 397
[100564, 5.253516]
[437765, 5.100301]
[126435, 4.500732]
[89414, 4.431233]
[518803, 4.257561]
[71709, 4.112144]
[7227, 4.103736]
[58101, 4.003703]
[131613, 3.982351]
[92018, 3.950871]Query: 398
[353739, 7.709743]
[127092, 6.964219]
[103995, 6.905174]
[334544, 6.881098]
[328657, 6.83899]
[350043, 6.789925]
[350182, 6.780418]
[91353, 6.603247]
[108761, 6.582982]
[82588, 6.512287]Query: 399
[198552, 8.824995]
[348010, 8.655338]
[184024, 7.520581]
[153344, 7.09645]
[52510, 6.577979]
[80257, 6.577979]
[127702, 6.528024]
[143010, 5.960377]
[458799, 5.9477]
[153343, 5.757557]Query: 400
[517545, 12.251552]
[465865, 11.874659]
[486942, 11.5208]
[511711, 11.453225]
[476270, 11.357377]
[412610, 11.297022]
[470679, 11.29225]
[397788, 11.256557]
[506172, 10.718077]
[519057, 10.603978]Query: 401
[48161, 5.044284]
[241921, 4.878554]
[209949, 4.81259]
[342777, 4.798145]
[114363, 4.777456]
[77412, 4.731698]
[192117, 4.523086]
[82130, 4.473766]
[341938, 4.467517]
[197106, 4.462139]Query: 402
[513951, 7.264541]
[402343, 6.037939]
[170712, 5.845416]
[459516, 5.641943]
[451275, 5.369221]
[455364, 5.135062]
[442147, 5.014305]
[517895, 5.004449]
[356525, 4.98342]
[260728, 4.825606]Query: 403
[459190, 7.228783]
[179958, 7.055091]
[412872, 6.960576]
[179974, 6.942477]
[503795, 6.803152]
[521454, 6.396764]
[463170, 6.273276]
[421550, 6.208477]
[179975, 5.854047]
[509470, 5.287686]Query: 404
[100491, 7.222575]
[360639, 6.751525]
[46570, 6.654738]
[385810, 6.619764]
[46508, 6.525313]
[352902, 6.489927]
[304848, 6.447506]
[360631, 6.44109]
[354985, 6.43897]
[294863, 6.438685]Query: 405
[42535, 7.857772]
[93621, 6.806166]
[42536, 6.775381]
[41270, 6.530867]
[465815, 6.175742]
[42503, 5.640637]
[426346, 5.459149]
[448729, 5.366517]
[432642, 5.321035]
[498792, 5.108018]Query: 406
[426493, 9.101943]
[518387, 9.079118]
[472996, 9.063861]
[428510, 9.008299]
[207029, 8.511713]
[458727, 8.051522]
[511957, 7.876175]
[271601, 7.842752]
[396067, 7.687316]
[461762, 7.647486]Query: 407
[494486, 9.991523]
[239839, 8.341639]
[474621, 7.810323]
[271712, 7.48473]
[236858, 7.403709]
[402644, 6.922978]
[126841, 6.895952]
[406855, 6.886535]
[418193, 6.83712]
[11024, 6.818448]Query: 408
[428670, 8.705732]
[519944, 8.593305]
[400627, 8.356288]
[492654, 8.334696]
[397540, 8.238855]
[481516, 8.203152]
[402310, 8.096446]
[522135, 7.980086]
[497685, 7.786298]
[463536, 7.749344]Query: 409
[246766, 9.744026]
[365624, 9.26296]
[408022, 8.928875]
[496462, 8.884624]
[365749, 8.801074]
[402223, 8.584052]
[416985, 8.450029]
[514134, 8.379395]
[516750, 8.311543]
[367394, 8.232882]Query: 410
[116801, 8.51089]
[68943, 8.2134]
[18302, 7.97532]
[189470, 7.731337]
[269595, 7.483411]
[36448, 7.476478]
[278289, 7.46618]
[344097, 7.43962]
[212725, 7.408653]
[262295, 7.368552]Query: 411
[358761, 9.239973]
[222740, 7.51378]
[220049, 7.169195]
[378979, 7.060048]
[257953, 7.017764]
[484239, 6.84085]
[217306, 6.808069]
[478739, 6.278195]
[466430, 5.666641]
[178753, 5.528724]Query: 412
[518205, 4.580675]
[244021, 4.471933]
[21806, 4.440439]
[80425, 4.369703]
[456562, 4.359715]
[36708, 4.329992]
[456607, 4.307672]
[274533, 4.300967]
[166960, 4.28453]
[6975, 4.283372]Query: 413
[31297, 4.899888]
[126376, 4.816097]
[86969, 4.801048]
[92782, 4.77669]
[104732, 4.758915]
[79049, 4.748563]
[386162, 4.686212]
[96622, 4.672127]
[220394, 4.644677]
[220413, 4.644677]Query: 414
[504144, 9.965895]
[313036, 9.770903]
[391417, 9.680507]
[338167, 9.494238]
[442100, 9.225119]
[206312, 9.11655]
[318274, 9.028202]
[383964, 8.788232]
[64075, 8.771645]
[262132, 8.743974]Query: 415
[10872, 10.367981]
[320269, 10.278499]
[10814, 9.588788]
[34442, 8.776914]
[31184, 8.767572]
[82551, 8.648616]
[110398, 8.518295]
[507669, 8.310775]
[76529, 8.285631]
[206032, 8.201374]Query: 416
[77157, 8.578849]
[80068, 8.5283]
[121961, 8.472714]
[44850, 8.345851]
[5302, 8.345071]
[5334, 8.345071]
[10719, 8.294385]
[35156, 8.201455]
[73562, 8.134521]
[77156, 8.134342]Query: 417
[482443, 3.964312]
[124194, 3.902423]
[482427, 3.877227]
[229913, 3.795045]
[524285, 3.789613]
[49801, 3.765906]
[225498, 3.722666]
[484088, 3.703883]
[400568, 3.68428]
[479581, 3.651195]Query: 418
[451883, 6.671669]
[443614, 6.644904]
[449997, 6.563746]
[396245, 6.304506]
[468060, 6.186052]
[403382, 6.006441]
[411224, 5.935133]
[457714, 5.895814]
[247862, 5.726966]
[436510, 5.150769]Query: 419
[126953, 9.518264]
[126811, 8.72355]
[402906, 7.657328]
[94030, 7.272775]
[299462, 6.744762]
[156192, 6.667797]
[397310, 6.484214]
[427286, 6.349601]
[101072, 6.258543]
[502480, 6.227187]Query: 420
[515361, 13.546275]
[483110, 11.113479]
[506042, 11.089842]
[413145, 10.909988]
[474081, 10.655294]
[467075, 10.576283]
[523204, 10.209924]
[440685, 10.069805]
[441374, 9.8666]
[414340, 9.864368]Query: 421
[283137, 7.216825]
[224244, 7.108616]
[78199, 6.987043]
[39634, 6.93096]
[104761, 6.926994]
[321805, 6.870651]
[294051, 6.803128]
[329221, 6.648685]
[152213, 6.629874]
[335509, 6.603949]Query: 422
[519689, 7.81307]
[369826, 6.705287]
[351498, 6.522711]
[383172, 6.415844]
[385567, 6.415844]
[506524, 6.266338]
[430567, 6.173853]
[472316, 6.17092]
[440438, 6.106333]
